session	day	PE replaces
1	2023-10-20	LR	n/a
3	2023-10-21	LR	n/a
4	2023-10-21	RL	n/a
5	2023-10-22	PA	n/a
6	2023-10-22	PA	n/a
7	2023-10-23	LR	n/a
8	2023-10-23	RL	n/a
9	2023-10-24	AP	n/a
10	2023-10-24	RL	n/a
11	2023-10-25	AP	n/a
13	2023-10-26	PA	n/a
15	2023-10-27	AP	n/a
16	2023-10-27	RL	n/a
17	2023-10-28	PA	n/a
18	2023-10-28	LR	n/a
19	2023-10-29	PA	n/a
20	2023-10-29	RL	n/a
21	2023-10-30	RL	n/a
22	2023-10-30	AP	n/a
23	2023-10-31	AP	n/a
24	2023-10-31	AP	n/a
25	2023-11-01	RL	n/a
26	2023-11-01	PA	n/a
28	2023-11-02	RL	n/a
29	2023-11-03	PA	n/a
37	2023-11-09	LR	2
38	2023-11-09	PA	12
39	2023-11-10	LR	14
40	2023-11-10	AP	27
41	2023-11-11	AP	30
42	2023-11-11	PA	31
43	2023-11-12	AP	32
44	2023-11-12	LR	33
45	2023-11-13	LR	34
46	2023-11-13	LR	35
47	2023-11-14	RL	36
